repo,stars,total_commits,h_index,n_contributors,error
apache/arrow,17060,9971,42,345,
apache/parquet-format,2553,170,6,58,
apache/sedona,2390,1934,16,86,
benbovy/spherely,160,115,3,6,
cidree/duckh3,14,41,1,1,
cidree/duckspatial,117,657,4,5,
cityriverspaces/rcoins,4,171,3,4,
cityriverspaces/rcrisp,23,1459,5,6,
cityriverspaces/visor,0,96,2,2,
deltares/geomorphometry.jl,22,57,3,5,
developmentseed/async-geotiff,57,97,2,5,
developmentseed/async-tiff,119,199,3,10,
developmentseed/deck.gl-raster,224,355,3,10,
developmentseed/lonboard,960,557,5,30,
developmentseed/obstore,807,435,3,28,
e-kotov/gridmaker,11,95,3,3,
e-kotov/osrm.backend,8,206,1,3,
e-kotov/r5r,0,1031,6,12,
e-kotov/r5rgui,17,43,1,1,
e-kotov/sx,6,14,1,1,
e-kotov/zeroserve,2,16,1,1,
edzer/sp,126,121,4,6,
evetion/flatgeobuf.jl,5,19,2,4,
evetion/geodataframes.jl,70,119,3,9,
flowmapblue/flowmapblue.r,71,53,2,2,
gatorlab-geo/dggs-bench,6,54,1,1,
genericmappingtools/pygmt,873,2972,8,29,
geoarrow/deck.gl-geoarrow,165,124,2,7,
geoarrow/geoarrow,533,54,3,11,
geoarrow/geoarrow-python,95,56,2,2,
geoarrow/geoarrow-rs,422,952,5,26,
geocompx/docker,49,436,4,6,
geocompx/geocompjl,24,135,3,6,
geocompx/geocompr,1788,2462,8,39,
geocompx/geocompx.org,29,334,3,12,
geocompx/geocompy,459,1221,5,14,
geocompx/tmap,31,519,2,2,
geopandas/geopandas,5230,960,9,57,
geopandas/pyogrio,332,378,4,23,
georust/geotiff,132,33,2,4,
geoserver/geoserver,4442,3478,23,183,
juliadatacubes/pyramidscheme.jl,18,58,3,5,
juliadatacubes/yaxarraybase.jl,3,79,4,7,
juliadatacubes/yaxarrays.jl,132,419,7,21,
juliageo/discreteglobalgrids.jl,0,587,4,4,
juliageo/gdal.jl,96,61,2,7,
juliageo/geoarrow.jl,2,27,2,4,
juliageo/geointerface.jl,140,184,4,17,
juliageo/geojson.jl,70,103,4,10,
juliageo/geometryops.jl,84,498,5,18,
juliageo/geoparquet.jl,20,44,2,6,
juliageo/ncdatasets.jl,191,680,5,18,
juliageo/proj.jl,51,96,4,10,
juliaio/diskarrays.jl,133,215,5,20,
juliaio/zarr.jl,139,165,7,26,
libgeos/geos,1494,1682,8,65,
makieorg/geomakie.jl,218,548,5,20,
makieorg/makie.jl,2800,2092,12,72,
makieorg/tyler.jl,85,123,5,12,
marcosci/layer,132,90,4,7,
meggart/sphericalspatialtrees.jl,1,96,3,4,
movingpandas/movingpandas,1408,370,4,31,
nismod/infra-risk-vis,14,887,4,6,
nismod/open-gira,24,1190,4,5,
nismod/snail,11,248,3,5,
nismod/snkit,36,85,4,4,
nowosad/supercells,77,269,2,4,
open-earth-monitor/globalearthpoint,5,41,2,2,
open-eo/openeo-api,115,159,3,6,
open-eo/openeo-python-client,212,1642,12,31,
open-eo/openeo-r-client,76,320,3,8,
openlandmap/scikit-map,61,223,5,9,
paleolimbot/geos,65,120,2,5,
pangeo-data/climpred,258,328,3,7,
postgis/postgis,2208,5148,17,79,
pydata/xarray,4190,2953,19,71,
pysal/pysal,1521,207,4,10,
qgis/qgis,14286,25401,43,210,
r-lidar/lasr,86,1116,4,6,
r-lidar/lidr,704,361,3,9,
r-spatial/geoarrowwidget,8,20,1,1,
r-spatial/gstat,214,76,3,5,
r-spatial/mapedit,221,40,3,5,
r-spatial/mapview,551,64,2,7,
r-spatial/s2,81,337,4,17,
r-spatial/sf,1442,1073,8,47,
r-spatial/stars,611,717,6,22,
r-spatialecology/belg,19,18,1,1,
r-spatialecology/landscapemetrics,262,321,4,7,
r-spatialecology/shar,22,348,3,7,
r-spatialecology/vectormetrics,19,199,4,4,
rafaqz/dimensionaldata.jl,333,737,8,38,
rafaqz/rasters.jl,264,636,7,25,
ropensci/landscapetools,50,55,3,10,
ropenspain/spanishoddata,48,609,3,7,
sajed-s/sron,0,2,1,1,
samherniman/indoor_co2_visuals,0,55,1,1,
shapely/shapely,4493,591,7,57,
sjewo/cartogram,153,83,3,3,
valhalla/valhalla,6120,1387,12,151,
weiji14/cog3pio,67,94,1,1,
xarray-contrib/cupy-xarray,86,47,3,11,
xarray-contrib/xskillscore,242,68,3,5,
xarray-contrib/xvec,139,80,2,10,
yeesian/archgdal.jl,150,156,6,16,
yunusserhat/geoai-vlm,3,8,1,1,
yunusserhat/sppt-python,6,11,1,1,
zarr-developers/geozarr-spec,211,254,7,17,
